Ranking,University Name,Country,Website,Address,Year of foundation,Source
63,Uppsala University,Sweden,http://www.uu.se,S:t Olofsgatan 10 B,1477,
64,"University of California, Irvine",USA,http://www.uci.edu,"University of California, Irvine, Campus Drive, Irvine, California 92697-0001, United States of America",1965,
65,Aarhus University,Denmark,http://www.au.dk/en,Nordre Ringgade 1,1928,
66,McMaster University,Canada,http://www.mcmaster.ca,1280 Main Street East,1887,
67,McGill University,Canada,http://www.mcgill.ca,"McGill University, 845 Sherbrooke Street West, Suite 506, Montreal, Quebec H3A 2T5, Canada",1821,
68,"University of Pittsburgh, Pittsburgh Campus",USA,http://www.pitt.edu,4200 Fifth Avenue,1787,
69,Ecole Normale Superieure - Paris,France,http://www.ens.fr/,"École normale supérieure, 45, rue d’Ulm, 75230 Paris Cedex 05, France",1794,
69,Ghent University,Belgium,http://www.ugent.be,Sint-Pietersnieuwstraat 25,1817,
71,Mayo Medical School,USA,http://www.mayo.edu/mms,"Mayo Medical School, 200 First Street, Southwest, Rochester, Minnesota 55905-0001, United States of America",1971,
71,Peking University,China,http://www.pku.edu.cn,"Peking University, 5 Yiheyyuan Road, Haidan District, Beijing 100871, China",1898,
73,Erasmus University Rotterdam,Netherlands,https://www.eur.nl/english/,"Erasmus University Rotterdam, Burgemeester Oudlaan 50, 3062 PA Rotterdam, The Netherlands",1913,
74,Rice University,USA,http://www.rice.edu,"Rice University, PO Box 1892, 6100 S. Main, Houston, Texas 77251-1892, United States of America",1891,
74,Stockholm University,Sweden,http://www.su.se/english/,Universitetsvägen 10 A,1878,
76,Swiss Federal Institute of Technology Lausanne,Switzerland,http://www.epfl.ch,"Ecole Polytechnique Fédérale de Lausanne, CH 1015 Lausanne Vaud, Switzerland",1853,
77,Purdue University - West Lafayette,USA,http://www.purdue.edu,610 Purdue Mall,1869,
78,Monash University,Australia,http://www.monash.edu.au/,Wellington Road,1958,
79,"Rutgers, The State University of New Jersey - New Brunswick",USA,http://newbrunswick.rutgers.edu,83 Somerset Street,1766,
80,Boston University,USA,http://www.bu.edu,One Silber Way,1869,
80,Carnegie Mellon University,USA,http://www.cmu.edu,5000 Forbes Avenue,1900,
80,The Ohio State University - Columbus,USA,http://www.osu.edu,"Student Academic Services Building, 281 W. Lane Ave.",1870,
83,University of Sydney,Australia,http://sydney.edu.au,"University of Sydney, Building A14, Sydney, New South Wales 2006, Australia",1850,
84,Nagoya University,Japan,http://www.nagoya-u.ac.jp,"Nagoya Daigaku, Furo-cho, Chikusa-ku, Nagoya-shi, Aichi 464-8601, Japan",1871,
85,Georgia Institute of Technology,USA,http://www.gatech.edu,225 North Avenue,1885,
85,Pennsylvania State University - University Park,USA,http://www.psu.edu,201 Old Main,1855,
85,"University of California, Davis",USA,http://www.ucdavis.edu,1 Shields Avenue,1908,
88,Leiden University,Netherlands,http://www.leiden.edu/,Rapenburg 70,1575,
88,University of Florida,USA,http://www.ufl.edu/,201 Criser Hall,1853,
90,KU Leuven,Belgium,http://www.kuleuven.be,Oude Markt 13 / Bus 5005,1425,
91,National University of Singapore,Singapore,http://www.nus.edu.sg/,21 Lower Kent Ridge Road,1905,
91,The University of Western Australia,Australia,http://www.uwa.edu.au,35 Stirling Highway,1911,
93,Moscow State University,Russia,http://www.msu.ru,"Moskovskij Gosudarstvennyj Universitet im. M.V. Lomonosova, Leninskie Gory, Moscow 119992, Russian Federation",1755,
93,Technion-Israel Institute of Technology,Israel,http://www.technion.ac.il,Technion City,1924,
95,University of Basel,Switzerland,http://www.unibas.ch,Petersplatz 1,1460,
95,University of Goettingen,Germany,http://www.uni-goettingen.de,Wilhelmsplatz 1,1737,
97,The Australian National University,Australia,http://www.anu.edu.au/,Acton,1946,
98,"University of California, Santa Cruz",USA,http://www.ucsc.edu/,1156 High Street,1965,
99,Cardiff University,UK,http://www.cardiff.ac.uk,Cardiff University,1883,
99,University of Arizona,USA,http://www.arizona.edu,"University of Arizona, PO Box 210066, Tucson, Arizona 85721, United States of America",1885,
101-150,Aix Marseille University,France,http://www.univ-amu.fr,"Jardin du Pharo, 58 bd Charles Livon",,
101-150,Arizona State University,USA,http://www.asu.edu,"Undergraduate Admissions, Arizona State University, PO Box 870112",1885,
101-150,Baylor College of Medicine,USA,http://www.bcm.edu,"Baylor College of Medicine, One Baylor Plaza, Houston, Texas 77030-3498, United States of America",1900,
101-150,Brown University,USA,http://www.brown.edu,"Brown University, 1, Prospect Street, Providence, Rhode Island 02912-9127, United States of America",1764,
101-150,Case Western Reserve University,USA,http://www.case.edu,10900 Euclid Avenue,1826,
101-150,Catholic University of Louvain,Belgium,http://https://uclouvain.be/en/index.html,"Place de l'Université, 1",1425,
101-150,Emory University,USA,http://www.emory.edu,201 Dowman Drive,1836,
101-150,Fudan University,China,http://www.fudan.edu.cn,220 Handan Road,1905,
101-150,Icahn School of Medicine at Mount Sinai,USA,http://www.mssm.edu/,"Mount Sinai School of Medicine, Manhattan, New York City, New York, USA",1963,
101-150,Indiana University Bloomington,USA,http://www.iub.edu/,107 South Indiana Avenue,1820,
101-150,King Abdulaziz University,SaudiArabia,http://www.kau.edu.sa,Abdullah Alsulaiman St.,,
101-150,King Saud University,SaudiArabia,http://www.ksu.edu.sa,King Abdulla St,1957,
101-150,Lund University,Sweden,http://www.lunduniversity.lu.se/,Paradisgatan 2,1666,
101-150,Michigan State University,USA,http://www.msu.edu,"Michigan State University, East Lansing, Michigan 48824, United States of America",1855,
101-150,Nanyang Technological University,Singapore,http://www.ntu.edu.sg,"Nanyang Technological University, Nanyang Avenue, Singapore 639798, Singapore",1981,
101-150,Norwegian University of Science and Technology - NTNU,Norway,http://www.ntnu.edu/,Høgskoleringen 1,1968,
101-150,Osaka University,Japan,http://www.osaka-u.ac.jp/en/index.html,Yamadaoka 1-1,1931,
